iter	F1	Logloss
0	0.6724801231	0.6378278733
1	0.6728205128	0.6038892747
2	0.6709478551	0.578831883
3	0.6707755521	0.5621333593
4	0.6867119302	0.5444863243
5	0.6714579055	0.5339291093
6	0.6716302953	0.5270200502
7	0.686407767	0.5234032055
8	0.6865599224	0.5204159728
9	0.6875151515	0.5171099781
10	0.6876818623	0.5140422347
11	0.6794839363	0.5124434701
12	0.6883495146	0.5108845758
13	0.6886677991	0.5092365785
14	0.6886677991	0.5079856634
15	0.6891367604	0.5069257097
16	0.6897721764	0.5045655168
17	0.690574267	0.503823392
18	0.6907416384	0.5026276672
19	0.6845941191	0.5010365677
20	0.6857429719	0.5003512501
21	0.6875626881	0.4988031158
22	0.6872335089	0.4981151499
23	0.6874059207	0.4972212135
24	0.6882043576	0.4965433655
25	0.6891891892	0.4945045239
26	0.6895171379	0.4939831585
27	0.6898449225	0.4917096945
28	0.6903274181	0.4908121835
29	0.6905	0.4902061102
30	0.6911360799	0.4893762502
31	0.6914628058	0.4888752683
32	0.6911360799	0.4877900268
33	0.6924034869	0.4867009147
34	0.6932270916	0.4860573647
35	0.6935524023	0.4856042731
36	0.6940502863	0.4845917912
37	0.6940502863	0.4840406349
38	0.6947001742	0.4830152024
39	0.6958468043	0.4825241217
40	0.6964951529	0.4819159474
41	0.6992555831	0.480366045
42	0.6999007937	0.4795671358
43	0.7005201883	0.4786425047
44	0.7016588264	0.4775101782
45	0.7031443427	0.4762672806
46	0.7031443427	0.4756621942
47	0.7034653465	0.4749425101
48	0.7042811185	0.4741896433
49	0.7050395257	0.473422037
50	0.7082306555	0.4718713732
51	0.7085489037	0.4698013118
52	0.7090103397	0.4682053015
53	0.7101377953	0.467059351
54	0.7114060964	0.4653929822
55	0.7116895874	0.4647309533
56	0.7114060964	0.4641121781
57	0.7123556866	0.4635210775
58	0.7129879696	0.4628086979
59	0.7131630648	0.4622071812
60	0.7131630648	0.4615940529
61	0.7142506745	0.460225597
62	0.7151960784	0.4590217972
63	0.7155468367	0.4584539909
64	0.7155468367	0.4580050371
65	0.7164910561	0.4574941612
66	0.7172954434	0.4566347151
67	0.7185511503	0.4559436935
68	0.7182374541	0.4556629301
69	0.7193540494	0.4545292252
70	0.7210552027	0.4535196955
71	0.7212313706	0.4526273042
72	0.7215839648	0.4520885082
73	0.7218559219	0.4511058959
74	0.7217200098	0.4507647735
75	0.7220322423	0.4501792943
76	0.7221679688	0.4492453699
77	0.7226972881	0.4481529819
78	0.7230092819	0.4478731294
79	0.723902439	0.4471155445
80	0.7262542621	0.4460268592
81	0.7259439708	0.4456754433
82	0.7264311815	0.4449650627
83	0.7264311815	0.4445244126
84	0.7272727273	0.4435655698
85	0.7282026303	0.4430505606
86	0.7297955209	0.442049343
87	0.7315648576	0.4414264787
88	0.7321819509	0.4406026859
89	0.733284707	0.4395445606
90	0.7335926106	0.4392614514
91	0.7354368932	0.4379977118
92	0.7354368932	0.4367465821
93	0.7365356623	0.4361082285
94	0.7371483996	0.4355563572
95	0.7384242424	0.4350461144
96	0.7384242424	0.4342505517
97	0.7384242424	0.4341724388
98	0.7393410853	0.4337916961
99	0.7400048461	0.4329234411
100	0.7409740732	0.4320160882
101	0.7411536597	0.4316744405
102	0.7413333333	0.4311190861
103	0.7428571429	0.4307350343
104	0.7434656341	0.4302067124
105	0.7434656341	0.4299819707
106	0.7437696588	0.4297435731
107	0.7434656341	0.4288574043
108	0.7434656341	0.4285201592
109	0.7448609432	0.4280489455
110	0.7451644101	0.4279430057
111	0.745828295	0.4273453223
112	0.7467375544	0.4270594824
113	0.7476454963	0.4261153401
114	0.7487328023	0.4256681169
115	0.7490944216	0.4251425469
116	0.7495173745	0.4243408735
117	0.7493365501	0.4237037344
118	0.7501205982	0.4229114619
119	0.7510243432	0.4223990044
120	0.7516261142	0.4218017456
121	0.7534279529	0.4211447196
122	0.7537277537	0.4205115722
123	0.7543269231	0.4196593941
124	0.7552245976	0.4187222441
125	0.7557050204	0.4180150082
126	0.755886593	0.4177411176
127	0.7571976967	0.4165481952
128	0.7574958024	0.4162509128
129	0.7573794096	0.4155914706
130	0.7576775432	0.4147297865
131	0.7608539218	0.4138681162
132	0.7611510791	0.4131156172
133	0.7616306954	0.4127415009
134	0.7616306954	0.4123049299
135	0.761448094	0.4121091678
136	0.7621103118	0.4113952623
137	0.7621103118	0.4112563827
138	0.7625209681	0.4102032084
139	0.7638456006	0.4097004317
140	0.7634795111	0.4096081262
141	0.7643251019	0.409288722
142	0.7652132247	0.4091141351
143	0.7652132247	0.409018981
144	0.7646917726	0.4079595547
145	0.7652841045	0.4069449656
146	0.7658758687	0.4063037977
147	0.7667624521	0.4054367691
148	0.7678314983	0.4046930678
149	0.7683101963	0.4044639792
150	0.7686049294	0.4037408501
151	0.7696723272	0.4030463248
152	0.7699665232	0.4028953179
153	0.7704447633	0.4021097838
154	0.7704447633	0.4018981852
155	0.7715105163	0.4012362569
156	0.7714764298	0.4006231266
157	0.7718794835	0.399899431
158	0.7723577236	0.3994331383
159	0.7728359637	0.3984484329
160	0.7722488038	0.3981268345
161	0.7736074588	0.3978155579
162	0.7739775173	0.3973576048
163	0.7739775173	0.397145903
164	0.775334608	0.3964726449
165	0.7763975155	0.3962282562
166	0.7761051374	0.3955738526
167	0.7761051374	0.3951412633
168	0.7769818529	0.394187818
169	0.7774594078	0.393745903
