iter	Passed	Remaining
0	11	2244
1	27	2738
2	40	2643
3	53	2623
4	67	2641
5	81	2637
6	94	2607
7	108	2605
8	121	2569
9	137	2606
10	151	2604
11	167	2625
12	183	2643
13	198	2636
14	212	2615
15	225	2594
16	239	2578
17	254	2576
18	272	2591
19	286	2578
20	301	2569
21	315	2549
22	330	2545
23	345	2531
24	358	2508
25	378	2533
26	392	2513
27	404	2487
28	418	2465
29	431	2443
30	444	2425
31	457	2403
32	470	2380
33	485	2369
34	499	2353
35	513	2340
36	527	2323
37	540	2304
38	552	2282
39	565	2263
40	579	2246
41	594	2234
42	607	2218
43	620	2198
44	632	2179
45	645	2161
46	658	2142
47	670	2123
48	684	2109
49	700	2100
50	715	2090
51	728	2074
52	742	2059
53	759	2054
54	776	2048
55	791	2034
56	805	2020
57	821	2011
58	836	1998
59	849	1981
60	864	1969
61	878	1954
62	891	1939
63	904	1922
64	917	1904
65	930	1888
66	945	1876
67	959	1862
68	977	1855
69	995	1849
70	1011	1838
71	1035	1841
72	1065	1854
73	1085	1848
74	1098	1830
75	1111	1813
76	1125	1798
77	1139	1782
78	1153	1766
79	1166	1749
80	1181	1735
81	1194	1719
82	1209	1705
83	1223	1689
84	1240	1678
85	1256	1665
86	1271	1651
87	1284	1634
88	1303	1625
89	1319	1612
90	1335	1599
91	1348	1583
92	1366	1571
93	1381	1557
94	1401	1549
95	1419	1537
96	1434	1523
97	1448	1507
98	1462	1492
99	1477	1477
100	1492	1462
101	1505	1446
102	1520	1432
103	1535	1417
104	1550	1402
105	1564	1386
106	1578	1372
107	1592	1356
108	1606	1341
109	1619	1324
110	1633	1309
111	1647	1294
112	1660	1278
113	1674	1262
114	1687	1247
115	1700	1231
116	1712	1214
117	1725	1199
118	1740	1184
119	1754	1169
120	1773	1157
121	1787	1142
122	1802	1128
123	1817	1113
124	1830	1098
125	1844	1083
126	1857	1067
127	1872	1053
128	1885	1037
129	1899	1022
130	1913	1007
131	1926	992
132	1940	977
133	1955	963
134	1969	948
135	1983	933
136	1997	918
137	2010	903
138	2023	888
139	2038	873
140	2053	859
141	2066	843
142	2079	829
143	2092	813
144	2108	799
145	2122	784
146	2137	770
147	2152	756
148	2167	741
149	2181	727
150	2196	712
151	2208	697
152	2223	683
153	2237	668
154	2251	653
155	2266	639
156	2280	624
157	2293	609
158	2306	594
159	2320	580
160	2334	565
161	2347	550
162	2362	536
163	2376	521
164	2389	506
165	2402	492
166	2418	477
167	2436	464
168	2453	450
169	2471	436
